moud_med,ndc
bup,00054018813
bup,00054018913
bup,00093572056
bup,00093572156
bup,00228315403
bup,00228315473
bup,00228315503
bup,00228315567
bup,00228315573
bup,00378876716
bup,00378876793
bup,00378876816
bup,00378876893
bup,00406192303
bup,00406192309
bup,00406192403
bup,00406192409
bup,00406800503
bup,00406802003
bup,00490005100
bup,00490005130
bup,00490005160
bup,00490005190
bup,00781721664
bup,00781722764
bup,00781723806
bup,00781723864
bup,00781724964
bup,12496120201
bup,12496120203
bup,12496120401
bup,12496120403
bup,12496120801
bup,12496120803
bup,12496121201
bup,12496121203
bup,12496128302
bup,12496130602
bup,16590066605
bup,16590066630
bup,16590066705
bup,16590066730
bup,16590066790
bup,23490927003
bup,23490927006
bup,23490927009
bup,35356000407
bup,35356000430
bup,42291017430
bup,42291017530
bup,43063018407
bup,43063018430
bup,43598057901
bup,43598057930
bup,43598058001
bup,43598058030
bup,43598058101
bup,43598058130
bup,43598058201
bup,43598058230
bup,47781035503
bup,47781035603
bup,47781035703
bup,47781035803
bup,47781071203
bup,47781071211
bup,49999039507
bup,49999039515
bup,49999039530
bup,50268014411
bup,50268014415
bup,50268014511
bup,50268014515
bup,50383028793
bup,50383029493
bup,52427069203
bup,52427069211
bup,52427069403
bup,52427069411
bup,52427069803
bup,52427069811
bup,52959030430
bup,52959074930
bup,53217013830
bup,54123011430
bup,54123090730
bup,54123091430
bup,54123092930
bup,54123095730
bup,54123098630
bup,54569549600
bup,54569573900
bup,54569573901
bup,54569573902
bup,54569639900
bup,54569640800
bup,54868570700
bup,54868570701
bup,54868570702
bup,54868570703
bup,54868570704
bup,54868575000
bup,55045378403
bup,55700014730
bup,55700018430
bup,55887031204
bup,55887031215
bup,59385001201
bup,59385001230
bup,59385001401
bup,59385001430
bup,59385001601
bup,59385001630
bup,60429058630
bup,60429058633
bup,60429058730
bup,60429058733
bup,60846097003
bup,60846097103
bup,62175045232
bup,62175045832
bup,62756096964
bup,62756096983
bup,62756097064
bup,62756097083
bup,63629403401
bup,63629403402
bup,63629403403
bup,63629507401
bup,63629727001
bup,63629727002
bup,63874108403
bup,63874108503
bup,65162041503
bup,65162041509
bup,65162041603
bup,65162041609
bup,66336001530
bup,66336001630
bup,68071138003
bup,68071151003
bup,68258299903
bup,00378876593
bup,00378876693
bup,00054017613
bup,00054017713
bup,00093537856
bup,00093537956
bup,00228315303
bup,00228315603
bup,00378092393
bup,00378092493
bup,12496127802
bup,12496131002
bup,35356055530
bup,35356055630
bup,42858050103
bup,42858050203
bup,43063066706
bup,43063075306
bup,49999063830
bup,49999063930
bup,50090157100
bup,50090292400
bup,50383092493
bup,50383093093
bup,53217024630
bup,54569657800
bup,55700030230
bup,55700030330
bup,62756045964
bup,62756045983
bup,62756046064
bup,62756046083
bup,63629409201
bup,63629409202
bup,63629712501
bup,63629712502
bup,63629712503
bup,63629712504
