drug,ndc_raw,ndc
amitriptyline,61919-223-90,61919022390
amitriptyline,80425-0137-1,80425013701
amitriptyline,80425-0172-1,80425017201
amitriptyline,67544-253-60,67544025360
amitriptyline,61919-117-90,61919011790
amitriptyline,63187-156-60,63187015660
amitriptyline,45865-432-30,45865043230
amitriptyline,68788-6899-9,68788689909
amitriptyline,67544-253-30,67544025330
amitriptyline,67544-085-53,67544008553
amitriptyline,50090-0031-0,50090003100
amitriptyline,50090-0031-1,50090003101
amitriptyline,50090-0031-4,50090003104
amitriptyline,50090-0031-8,50090003108
amitriptyline,55700-619-60,55700061960
amitriptyline,63187-408-14,63187040814
amitriptyline,68788-6432-1,68788643201
amitriptyline,68788-6432-6,68788643206
amitriptyline,63629-8987-1,63629898701
amitriptyline,53002-3391-1,53002339101
amitriptyline,53002-3391-3,53002339103
amitriptyline,68788-6432-8,68788643208
amitriptyline,70710-1230-0,70710123000
amitriptyline,63187-359-30,63187035930
amitriptyline,63187-359-60,63187035960
amitriptyline,61919-374-45,61919037445
amitriptyline,70771-1174-1,70771117401
amitriptyline,63629-3597-1,63629359701
amitriptyline,63629-3597-2,63629359702
amitriptyline,63629-3597-3,63629359703
amitriptyline,63629-3597-4,63629359704
amitriptyline,63629-3597-5,63629359705
amitriptyline,63187-408-15,63187040815
amitriptyline,63187-408-60,63187040860
amitriptyline,70771-1173-1,70771117301
amitriptyline,70771-1177-1,70771117701
amitriptyline,51655-121-52,51655012152
amitriptyline,68788-6899-3,68788689903
amitriptyline,43353-163-30,43353016330
amitriptyline,43353-164-30,43353016430
amitriptyline,55700-660-30,55700066030
amitriptyline,70518-1633-1,70518163301
amitriptyline,67544-253-53,67544025353
amitriptyline,60760-181-30,60760018130
amitriptyline,43353-163-53,43353016353
amitriptyline,43353-164-60,43353016460
amitriptyline,67296-0388-3,67296038803
amitriptyline,50090-2840-0,50090284000
amitriptyline,50090-2840-1,50090284001
amitriptyline,50090-2840-4,50090284004
amitriptyline,50090-3784-0,50090378400
amitriptyline,70934-071-30,70934007130
amitriptyline,67296-0388-2,67296038802
amitriptyline,50090-2840-8,50090284008
amitriptyline,70771-1176-0,70771117600
amitriptyline,70771-1178-1,70771117801
amitriptyline,0832-1225-11,00832122511
amitriptyline,55700-643-90,55700064390
amitriptyline,63629-8987-2,63629898702
amitriptyline,63629-8987-3,63629898703
amitriptyline,43063-863-28,43063086328
amitriptyline,0832-1220-10,00832122010
amitriptyline,63187-155-30,63187015530
amitriptyline,57664-689-88,57664068988
amitriptyline,57664-690-88,57664069088
amitriptyline,68071-5220-9,68071522009
amitriptyline,0832-1220-11,00832122011
amitriptyline,0832-1221-10,00832122110
amitriptyline,0832-1221-11,00832122111
amitriptyline,0832-1222-10,00832122210
amitriptyline,0832-1222-11,00832122211
amitriptyline,0832-1223-11,00832122311
amitriptyline,0832-1224-11,00832122411
amitriptyline,68788-6825-9,68788682509
amitriptyline,68788-8218-3,68788821803
amitriptyline,68788-8218-6,68788821806
amitriptyline,68788-8218-9,68788821809
amitriptyline,55700-643-30,55700064330
amitriptyline,70518-1633-0,70518163300
amitriptyline,67544-085-30,67544008530
amitriptyline,50090-3026-0,50090302600
amitriptyline,50090-3026-1,50090302601
amitriptyline,50090-3026-6,50090302606
amitriptyline,67544-085-60,67544008560
amitriptyline,50090-3784-1,50090378401
amitriptyline,50090-3784-2,50090378402
amitriptyline,50090-3784-5,50090378405
amitriptyline,70518-1538-0,70518153800
amitriptyline,50090-3985-0,50090398500
amitriptyline,50090-3985-2,50090398502
amitriptyline,50090-3986-0,50090398600
amitriptyline,50090-3986-1,50090398601
amitriptyline,50090-3986-6,50090398606
amitriptyline,50090-4005-0,50090400500
amitriptyline,50090-4005-1,50090400501
amitriptyline,50090-4005-4,50090400504
amitriptyline,50090-4005-8,50090400508
amitriptyline,50090-3564-2,50090356402
amitriptyline,70518-1505-0,70518150500
amitriptyline,68071-4092-2,68071409202
amitriptyline,68071-4092-3,68071409203
amitriptyline,68071-4092-6,68071409206
amitriptyline,68071-4092-9,68071409209
amitriptyline,68071-4104-1,68071410401
amitriptyline,68071-4108-1,68071410801
amitriptyline,68071-4108-3,68071410803
amitriptyline,68071-4108-4,68071410804
amitriptyline,68071-4108-5,68071410805
amitriptyline,68071-4108-6,68071410806
amitriptyline,68071-4108-8,68071410808
amitriptyline,68071-4108-9,68071410809
amitriptyline,68788-6320-6,68788632006
amitriptyline,57664-691-88,57664069188
amitriptyline,70771-1176-1,70771117601
amitriptyline,63187-408-90,63187040890
amitriptyline,50090-5015-0,50090501500
amitriptyline,45865-648-60,45865064860
amitriptyline,45865-648-90,45865064890
amitriptyline,68788-6825-3,68788682503
amitriptyline,71335-1256-1,71335125601
amitriptyline,71335-1256-2,71335125602
amitriptyline,71335-1256-3,71335125603
amitriptyline,71335-1256-4,71335125604
amitriptyline,71335-1256-5,71335125605
amitriptyline,71335-1256-6,71335125606
amitriptyline,71335-1256-7,71335125607
amitriptyline,71335-1256-8,71335125608
amitriptyline,68071-4408-0,68071440800
amitriptyline,57664-692-88,57664069288
amitriptyline,43353-306-60,43353030660
amitriptyline,68071-4720-3,68071472003
amitriptyline,67296-1279-2,67296127902
amitriptyline,0904-0202-61,00904020261
amitriptyline,70710-1225-0,70710122500
amitriptyline,70710-1226-1,70710122601
amitriptyline,70710-1227-1,70710122701
amitriptyline,70710-1228-0,70710122800
amitriptyline,63187-155-60,63187015560
amitriptyline,63187-260-30,63187026030
amitriptyline,55154-7898-0,55154789800
amitriptyline,70710-1225-1,70710122501
amitriptyline,70710-1227-0,70710122700
amitriptyline,70710-1229-1,70710122901
amitriptyline,61919-076-90,61919007690
