drug,ndc_raw,ndc
aripiprazole,59148-006-13,59148000613
aripiprazole,59148-006-92,59148000692
aripiprazole,59148-007-13,59148000713
aripiprazole,59148-007-35,59148000735
aripiprazole,59148-007-94,59148000794
aripiprazole,59148-008-13,59148000813
aripiprazole,59148-008-35,59148000835
aripiprazole,59148-008-95,59148000895
aripiprazole,59148-009-13,59148000913
aripiprazole,59148-009-35,59148000935
aripiprazole,59148-009-95,59148000995
aripiprazole,59148-010-13,59148001013
aripiprazole,59148-010-35,59148001035
aripiprazole,59148-011-13,59148001113
aripiprazole,59148-011-35,59148001135
aripiprazole,59148-018-71,59148001871
aripiprazole,59148-045-80,59148004580
aripiprazole,59148-019-71,59148001971
aripiprazole,59148-072-92,59148007292
aripiprazole,59148-072-80,59148007280
aripiprazole,59148-029-61,59148002961
aripiprazole,59148-029-72,59148002972
aripiprazole,59148-029-90,59148002990
aripiprazole,59148-030-61,59148003061
aripiprazole,59148-030-72,59148003072
aripiprazole,59148-030-90,59148003090
aripiprazole,59148-031-61,59148003161
aripiprazole,59148-031-72,59148003172
aripiprazole,59148-031-90,59148003190
aripiprazole,59148-032-61,59148003261
aripiprazole,59148-032-72,59148003272
aripiprazole,59148-032-90,59148003290
aripiprazole,59148-033-61,59148003361
aripiprazole,59148-033-72,59148003372
aripiprazole,59148-033-90,59148003390
aripiprazole,59148-034-61,59148003461
aripiprazole,59148-034-72,59148003472
aripiprazole,59148-034-90,59148003490
aripiprazole,50228-328-10,50228032810
aripiprazole,50228-328-30,50228032830
aripiprazole,50228-329-30,50228032930
aripiprazole,50228-330-51,50228033051
aripiprazole,43547-305-09,43547030509
aripiprazole,43598-554-30,43598055430
aripiprazole,68071-2676-4,68071267604
aripiprazole,76483-100-04,76483010004
aripiprazole,76483-101-04,76483010104
aripiprazole,76483-102-04,76483010204
aripiprazole,76483-103-04,76483010304
aripiprazole,50090-6063-0,50090606300
aripiprazole,72865-180-05,72865018005
aripiprazole,72865-180-30,72865018030
aripiprazole,72865-181-05,72865018105
aripiprazole,72865-181-30,72865018130
aripiprazole,72865-182-05,72865018205
aripiprazole,71335-1682-1,71335168201
aripiprazole,71335-1682-2,71335168202
aripiprazole,71335-1682-3,71335168203
aripiprazole,72865-182-30,72865018230
aripiprazole,72865-183-05,72865018305
aripiprazole,72865-183-30,72865018330
aripiprazole,71335-1687-1,71335168701
aripiprazole,71335-1687-2,71335168702
aripiprazole,71335-1687-3,71335168703
aripiprazole,71335-1688-1,71335168801
aripiprazole,71335-1688-2,71335168802
aripiprazole,71335-1688-3,71335168803
aripiprazole,71335-1688-4,71335168804
aripiprazole,71335-1688-5,71335168805
aripiprazole,71335-1688-6,71335168806
aripiprazole,65162-896-50,65162089650
aripiprazole,65162-899-09,65162089909
aripiprazole,65162-901-50,65162090150
aripiprazole,65162-902-50,65162090250
aripiprazole,46708-254-45,46708025445
aripiprazole,46708-257-30,46708025730
aripiprazole,46708-260-10,46708026010
aripiprazole,72865-184-05,72865018405
aripiprazole,72865-184-30,72865018430
aripiprazole,72865-185-05,72865018505
aripiprazole,72865-185-30,72865018530
aripiprazole,71335-1711-1,71335171101
aripiprazole,71335-1711-2,71335171102
aripiprazole,71335-1711-3,71335171103
aripiprazole,71335-1711-4,71335171104
aripiprazole,71335-1682-4,71335168204
aripiprazole,62332-097-10,62332009710
aripiprazole,62332-097-31,62332009731
aripiprazole,62332-097-71,62332009771
aripiprazole,62332-099-30,62332009930
aripiprazole,62332-100-31,62332010031
aripiprazole,62332-100-71,62332010071
aripiprazole,62332-104-30,62332010430
aripiprazole,65162-893-74,65162089374
aripiprazole,65162-898-03,65162089803
aripiprazole,65162-898-09,65162089809
aripiprazole,65162-899-50,65162089950
aripiprazole,70518-0970-0,70518097000
aripiprazole,46708-254-30,46708025430
aripiprazole,46708-255-30,46708025530
aripiprazole,46708-257-71,46708025771
aripiprazole,46708-257-91,46708025791
aripiprazole,50228-325-10,50228032510
aripiprazole,50228-329-10,50228032910
aripiprazole,62332-098-45,62332009845
aripiprazole,62332-098-71,62332009871
aripiprazole,62332-101-91,62332010191
aripiprazole,62332-097-45,62332009745
aripiprazole,62332-098-30,62332009830
aripiprazole,62332-098-60,62332009860
aripiprazole,62332-099-91,62332009991
aripiprazole,62332-101-10,62332010110
aripiprazole,65862-661-78,65862066178
aripiprazole,65862-663-01,65862066301
aripiprazole,65862-664-01,65862066401
aripiprazole,65862-666-30,65862066630
aripiprazole,76282-044-01,76282004401
aripiprazole,76282-048-01,76282004801
aripiprazole,63629-7108-1,63629710801
aripiprazole,63629-7108-2,63629710802
aripiprazole,63629-7108-3,63629710803
aripiprazole,63629-7108-4,63629710804
aripiprazole,63629-7108-5,63629710805
aripiprazole,63629-7108-6,63629710806
aripiprazole,70518-3380-0,70518338000
aripiprazole,60505-2675-8,60505267508
aripiprazole,71335-1980-1,71335198001
aripiprazole,71335-1980-2,71335198002
aripiprazole,71335-1980-3,71335198003
aripiprazole,71335-1980-4,71335198004
aripiprazole,16714-141-01,16714014101
aripiprazole,16714-142-01,16714014201
aripiprazole,16714-143-01,16714014301
aripiprazole,16714-144-01,16714014401
aripiprazole,16714-145-01,16714014501
aripiprazole,16714-146-01,16714014601
aripiprazole,50228-327-10,50228032710
