drug,ndc_raw,ndc
alprazolam,55700-929-30,55700092930
alprazolam,68071-5243-3,68071524303
alprazolam,61919-005-30,61919000530
alprazolam,61919-005-60,61919000560
alprazolam,61919-005-90,61919000590
alprazolam,55289-523-40,55289052340
alprazolam,71205-290-30,71205029030
alprazolam,71205-290-60,71205029060
alprazolam,71205-290-90,71205029090
alprazolam,65162-809-03,65162080903
alprazolam,71335-1839-1,71335183901
alprazolam,71335-1839-2,71335183902
alprazolam,71335-1839-3,71335183903
alprazolam,71335-1839-4,71335183904
alprazolam,51991-706-10,51991070610
alprazolam,80425-0161-2,80425016102
alprazolam,51991-706-05,51991070605
alprazolam,59762-3720-3,59762372003
alprazolam,61919-576-60,61919057660
alprazolam,63187-966-90,63187096690
alprazolam,65162-812-06,65162081206
alprazolam,71610-113-70,71610011370
alprazolam,70934-815-04,70934081504
alprazolam,71335-1576-0,71335157600
alprazolam,71335-1576-1,71335157601
alprazolam,71335-1576-2,71335157602
alprazolam,71335-1576-3,71335157603
alprazolam,71335-1576-4,71335157604
alprazolam,71335-1576-5,71335157605
alprazolam,71335-1576-6,71335157606
alprazolam,71335-1576-7,71335157607
alprazolam,71335-1576-8,71335157608
alprazolam,71335-1576-9,71335157609
alprazolam,68071-4652-6,68071465206
alprazolam,68071-4621-3,68071462103
alprazolam,68071-4621-6,68071462106
alprazolam,55700-671-60,55700067160
alprazolam,65862-677-01,65862067701
alprazolam,68071-2236-6,68071223606
alprazolam,63187-225-30,63187022530
alprazolam,59762-0057-1,59762005701
alprazolam,65862-677-05,65862067705
alprazolam,64980-396-50,64980039650
alprazolam,67544-414-30,67544041430
alprazolam,67544-414-70,67544041470
alprazolam,51991-704-10,51991070410
alprazolam,65862-678-01,65862067801
alprazolam,70518-3259-0,70518325900
alprazolam,51991-704-01,51991070401
alprazolam,68788-7613-2,68788761302
alprazolam,68788-7613-3,68788761303
alprazolam,68788-7613-6,68788761306
alprazolam,68788-7613-9,68788761309
alprazolam,59762-3719-1,59762371901
alprazolam,71205-227-30,71205022730
alprazolam,71205-227-60,71205022760
alprazolam,71205-227-90,71205022790
alprazolam,71205-284-30,71205028430
alprazolam,71205-284-60,71205028460
alprazolam,71205-284-90,71205028490
alprazolam,65162-810-06,65162081006
alprazolam,65162-810-50,65162081050
alprazolam,67544-415-60,67544041560
alprazolam,50090-1759-0,50090175900
alprazolam,50090-1759-1,50090175901
alprazolam,50090-1759-2,50090175902
alprazolam,50090-1759-3,50090175903
alprazolam,67544-415-70,67544041570
alprazolam,67544-415-55,67544041555
alprazolam,67544-415-92,67544041592
alprazolam,50090-5258-1,50090525801
alprazolam,68071-5128-9,68071512809
alprazolam,59762-3719-4,59762371904
alprazolam,68788-7595-2,68788759502
alprazolam,68788-7595-3,68788759503
alprazolam,68788-7595-6,68788759506
alprazolam,68788-7595-8,68788759508
alprazolam,59762-3721-1,59762372101
alprazolam,65862-676-01,65862067601
alprazolam,71335-1907-1,71335190701
alprazolam,71335-1907-2,71335190702
alprazolam,71335-1907-3,71335190703
alprazolam,71335-1907-4,71335190704
alprazolam,68071-4855-6,68071485506
alprazolam,65162-813-06,65162081306
alprazolam,67544-414-15,67544041415
alprazolam,67544-414-45,67544041445
alprazolam,55154-5885-0,55154588500
alprazolam,64980-398-50,64980039850
alprazolam,63187-225-60,63187022560
alprazolam,70518-2785-0,70518278500
alprazolam,70954-509-10,70954050910
alprazolam,70954-509-20,70954050920
alprazolam,70954-509-30,70954050930
alprazolam,68071-4621-9,68071462109
alprazolam,49999-252-30,49999025230
alprazolam,63187-916-60,63187091660
alprazolam,71335-1386-0,71335138600
alprazolam,71335-1386-1,71335138601
alprazolam,71335-1386-2,71335138602
alprazolam,71335-1386-3,71335138603
alprazolam,71335-1386-4,71335138604
alprazolam,71335-1386-5,71335138605
