Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
BELBUCA (U),55700-867-60, , , , ,"Quality Care Products, LLC", , , , , ,N/A, , ,N/A,N/A,N/A, 
BUPRENORPHINE (U),68071-2592-3, , , , ,"NuCare Pharmaceuticals,Inc.", , , , , ,N/A, , ,N/A,N/A,N/A, 
BUPRENORPHINE (U),50090-5805-0, , , , ,A-S Medication Solutions, , , , , ,N/A, , ,N/A,N/A,N/A, 
Buprenorphine and Naloxone (U),70518-3129-0, , , , ,REMEDYREPACK INC., , , , , ,N/A, , ,N/A,N/A,N/A, 
buprenorphine hydrochloride (U),50090-1571-0, , , , ,A-S Medication Solutions, , , , , ,N/A, , ,N/A,N/A,N/A, 
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE (U),16729-549-10, , , , ,"Accord Healthcare, Inc", , , , , ,N/A, , ,N/A,N/A,N/A, 
BUPRENORPHINE HYDROCHLORIDE and NALOXONE HYDROCHLORIDE DIHYDRATE (U),16729-550-10, , , , ,"Accord Healthcare, Inc", , , , , ,N/A, , ,N/A,N/A,N/A, 
Buprenex,12496-0757-5,.3 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,NDA018401,Indivior Inc.,12496-0757,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/1985,N/A,NDA,5 AMPULE in 1 CARTON (12496-0757-5)  / 1 mL in 1 AMPULE (12496-0757-1),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride,0409-2012-32,.3 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA074137,"Hospira, Inc.",0409-2012,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/14/2005,N/A,ANDA,10 CARTRIDGE in 1 CARTON (0409-2012-32)  / 1 mL in 1 CARTRIDGE (0409-2012-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride,0143-9246-05,.324 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA076931,Hikma Pharmaceuticals USA Inc.,0143-9246,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/12/2019,N/A,ANDA,5 VIAL in 1 CARTON (0143-9246-05)  / 1 mL in 1 VIAL (0143-9246-01),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride,42023-179-05,.324 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA206586,"Par Pharmaceutical, Inc.",42023-179,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/30/2015,N/A,ANDA,5 VIAL in 1 CARTON (42023-179-05)  / 1 mL in 1 VIAL,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Zubsolv,54123-907-30,".7 mg/1,                         .18  mg/1","TABLET, ORALLY DISINTEGRATING",SUBLINGUAL,NDA204242,"Orexo US, Inc.",54123-907,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/04/2013,N/A,NDA,"3 BLISTER PACK in 1 CARTON (54123-907-30)  / 10 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Zubsolv,54123-914-30,"1.4 mg/1,                         .36  mg/1","TABLET, ORALLY DISINTEGRATING",SUBLINGUAL,NDA204242,"Orexo US, Inc.",54123-914,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/04/2013,N/A,NDA,"3 BLISTER PACK in 1 CARTON (54123-914-30)  / 10 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,0093-3657-40,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3657,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3657-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,42858-493-40,10 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-493,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-493-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,69238-1203-2,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1203,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1203-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
