drug,ndc_raw,ndc
carbamazepine,0832-6023-11,00832602311
carbamazepine,60505-2806-8,60505280608
carbamazepine,16571-680-01,16571068001
carbamazepine,16571-681-01,16571068101
carbamazepine,16571-682-01,16571068201
carbamazepine,75834-220-00,75834022000
carbamazepine,75834-220-01,75834022001
carbamazepine,68382-555-01,68382055501
carbamazepine,68382-555-06,68382055506
carbamazepine,68382-555-16,68382055516
carbamazepine,68382-555-30,68382055530
carbamazepine,70518-3591-0,70518359100
carbamazepine,0832-6022-11,00832602211
carbamazepine,71335-0691-1,71335069101
carbamazepine,71335-0691-2,71335069102
carbamazepine,71335-0461-1,71335046101
carbamazepine,59746-790-01,59746079001
carbamazepine,43353-953-53,43353095353
carbamazepine,43353-953-60,43353095360
carbamazepine,71335-0461-3,71335046103
carbamazepine,71335-0461-5,71335046105
carbamazepine,51672-4149-3,51672414903
carbamazepine,51672-4149-6,51672414906
carbamazepine,60505-0183-0,60505018300
carbamazepine,51672-4125-3,51672412503
carbamazepine,68071-2701-6,68071270106
carbamazepine,0904-6172-50,00904617250
carbamazepine,75834-221-00,75834022100
carbamazepine,75834-221-01,75834022101
carbamazepine,63629-8255-1,63629825501
carbamazepine,63629-8255-2,63629825502
carbamazepine,63629-8255-3,63629825503
carbamazepine,0904-6172-61,00904617261
carbamazepine,51672-4125-6,51672412506
carbamazepine,70518-1545-0,70518154500
carbamazepine,51672-4125-1,51672412501
carbamazepine,70518-2242-4,70518224204
carbamazepine,70518-2242-6,70518224206
carbamazepine,70518-1433-0,70518143300
carbamazepine,71205-025-90,71205002590
carbamazepine,68094-007-62,68094000762
carbamazepine,70518-2489-4,70518248904
carbamazepine,70518-2489-5,70518248905
carbamazepine,63629-9292-1,63629929201
carbamazepine,60505-2807-7,60505280707
carbamazepine,16714-065-01,16714006501
carbamazepine,29300-382-01,29300038201
carbamazepine,29300-382-05,29300038205
carbamazepine,29300-382-10,29300038210
carbamazepine,70518-2242-8,70518224208
carbamazepine,51672-4005-3,51672400503
carbamazepine,70518-3335-0,70518333500
carbamazepine,70518-1545-1,70518154501
carbamazepine,70518-2489-0,70518248900
carbamazepine,70518-2489-2,70518248902
carbamazepine,51672-4041-2,51672404102
carbamazepine,68788-7210-6,68788721006
carbamazepine,68788-7210-8,68788721008
carbamazepine,68788-7210-9,68788721009
carbamazepine,68382-557-01,68382055701
carbamazepine,68382-557-06,68382055706
carbamazepine,68382-557-16,68382055716
carbamazepine,68382-557-30,68382055730
carbamazepine,0832-6024-11,00832602411
carbamazepine,59746-791-01,59746079101
carbamazepine,51672-4041-0,51672404100
carbamazepine,51672-4041-9,51672404109
carbamazepine,68788-7210-2,68788721002
carbamazepine,51672-4151-3,51672415103
carbamazepine,66993-407-32,66993040732
carbamazepine,0904-3854-80,00904385480
carbamazepine,70954-240-10,70954024010
carbamazepine,60429-934-05,60429093405
carbamazepine,60505-2805-8,60505280508
carbamazepine,51672-4123-3,51672412303
carbamazepine,51672-4123-6,51672412306
carbamazepine,59746-789-01,59746078901
carbamazepine,51672-4123-1,51672412301
carbamazepine,72664-218-01,72664021801
carbamazepine,72664-218-10,72664021810
carbamazepine,72664-218-30,72664021830
carbamazepine,68094-008-62,68094000862
carbamazepine,16714-063-01,16714006301
carbamazepine,68788-7825-1,68788782501
carbamazepine,68788-7825-3,68788782503
carbamazepine,68788-7825-6,68788782506
carbamazepine,68788-7825-9,68788782509
carbamazepine,68382-556-01,68382055601
