drug,ndc_raw,ndc
amphetamine,54092-383-01,54092038301
amphetamine,54092-385-01,54092038501
amphetamine,54092-389-01,54092038901
amphetamine,54092-387-01,54092038701
amphetamine,54092-391-01,54092039101
amphetamine,57844-120-01,57844012001
amphetamine,57844-105-01,57844010501
amphetamine,57844-110-01,57844011001
amphetamine,57844-112-01,57844011201
amphetamine,57844-115-01,57844011501
amphetamine,57844-130-01,57844013001
amphetamine,54092-381-01,54092038101
amphetamine,57844-117-01,57844011701
amphetamine,70165-025-30,70165002530
amphetamine,70165-030-30,70165003030
amphetamine,70165-010-30,70165001030
amphetamine,70165-005-30,70165000530
amphetamine,70165-015-30,70165001530
amphetamine,70165-020-30,70165002030
amphetamine,52536-057-03,52536005703
amphetamine,52536-059-03,52536005903
amphetamine,0527-2524-37,00527252437
amphetamine,0527-2525-37,00527252537
amphetamine,63629-2079-1,63629207901
amphetamine,13107-259-01,13107025901
amphetamine,13107-260-01,13107026001
amphetamine,57664-062-88,57664006288
amphetamine,57664-075-88,57664007588
amphetamine,70010-040-01,70010004001
amphetamine,70010-041-01,70010004101
amphetamine,0406-1219-01,00406121901
amphetamine,0406-1220-01,00406122001
amphetamine,67877-710-01,67877071001
amphetamine,67877-711-01,67877071101
amphetamine,52536-057-10,52536005710
amphetamine,52536-059-10,52536005910
amphetamine,43547-457-10,43547045710
amphetamine,43547-458-10,43547045810
amphetamine,43598-897-01,43598089701
amphetamine,43598-898-01,43598089801
amphetamine,63629-1114-1,63629111401
amphetamine,63629-1115-1,63629111501
amphetamine,69238-1563-1,69238156301
amphetamine,63629-2078-1,63629207801
amphetamine,69238-1564-1,69238156401
amphetamine,69452-227-20,69452022720
amphetamine,69452-228-20,69452022820
amphetamine,63629-2498-1,63629249801
amphetamine,63629-2499-1,63629249901
amphetamine,55292-104-01,55292010401
amphetamine,70868-820-05,70868082005
amphetamine,64896-675-10,64896067510
amphetamine,64896-674-10,64896067410
amphetamine,64896-673-10,64896067310
amphetamine,27808-085-01,27808008501
amphetamine,0406-8884-01,00406888401
amphetamine,0406-8885-01,00406888501
amphetamine,0406-8891-01,00406889101
amphetamine,0406-8892-01,00406889201
amphetamine,0406-8893-01,00406889301
amphetamine,0406-8894-01,00406889401
amphetamine,31722-195-01,31722019501
amphetamine,0115-1486-01,00115148601
amphetamine,0115-1487-01,00115148701
amphetamine,0115-1488-01,00115148801
amphetamine,0115-1489-01,00115148901
amphetamine,0115-1490-01,00115149001
amphetamine,0115-1491-01,00115149101
amphetamine,0185-2098-01,00185209801
amphetamine,71335-2070-1,71335207001
amphetamine,71335-2070-2,71335207002
amphetamine,71335-2070-3,71335207003
amphetamine,71335-1038-1,71335103801
amphetamine,71335-1038-2,71335103802
amphetamine,71335-1038-3,71335103803
amphetamine,71335-1249-1,71335124901
amphetamine,71335-1249-2,71335124902
amphetamine,71335-1249-3,71335124903
amphetamine,71335-1249-4,71335124904
amphetamine,71335-1249-5,71335124905
amphetamine,43602-316-05,43602031605
amphetamine,43602-316-30,43602031630
amphetamine,43602-317-05,43602031705
amphetamine,43602-317-30,43602031730
amphetamine,43602-318-05,43602031805
amphetamine,43602-318-30,43602031830
amphetamine,43602-319-05,43602031905
amphetamine,43602-319-30,43602031930
amphetamine,43602-320-05,43602032005
amphetamine,43602-320-30,43602032030
amphetamine,43602-321-05,43602032105
amphetamine,43602-321-30,43602032130
amphetamine,43975-277-10,43975027710
amphetamine,43975-278-10,43975027810
amphetamine,43975-279-10,43975027910
amphetamine,43975-280-10,43975028010
amphetamine,43975-281-10,43975028110
amphetamine,43975-282-10,43975028210
amphetamine,0527-0790-37,00527079037
amphetamine,0527-0791-37,00527079137
amphetamine,0527-0792-37,00527079237
amphetamine,0527-0793-37,00527079337
amphetamine,0527-0794-37,00527079437
amphetamine,71335-0699-3,71335069903
amphetamine,0185-0831-01,00185083101
amphetamine,0185-0842-01,00185084201
amphetamine,0185-0853-01,00185085301
amphetamine,0185-0864-01,00185086401
amphetamine,71335-0699-5,71335069905
amphetamine,71335-0627-1,71335062701
amphetamine,71335-0627-2,71335062702
amphetamine,71335-0627-3,71335062703
amphetamine,71335-0627-4,71335062704
amphetamine,71335-0627-5,71335062705
amphetamine,71335-0699-2,71335069902
amphetamine,0527-0795-37,00527079537
amphetamine,71335-0699-1,71335069901
amphetamine,63629-1973-1,63629197301
amphetamine,63629-1974-1,63629197401
amphetamine,63629-1975-1,63629197501
amphetamine,63629-1976-1,63629197601
amphetamine,63629-1977-1,63629197701
amphetamine,63629-1978-1,63629197801
amphetamine,71335-0699-4,71335069904
amphetamine,0185-2099-01,00185209901
amphetamine,31722-185-01,31722018501
amphetamine,31722-186-01,31722018601
amphetamine,31722-187-01,31722018701
amphetamine,31722-188-01,31722018801
amphetamine,31722-189-01,31722018901
amphetamine,0228-3059-11,00228305911
amphetamine,0228-3060-11,00228306011
amphetamine,0228-3061-11,00228306111
amphetamine,0228-3062-11,00228306211
amphetamine,0228-3063-11,00228306311
amphetamine,0228-3064-11,00228306411
amphetamine,60687-498-25,60687049825
amphetamine,60687-509-25,60687050925
amphetamine,60687-520-25,60687052025
amphetamine,63629-2103-1,63629210301
amphetamine,63629-2106-1,63629210601
amphetamine,63629-2107-1,63629210701
amphetamine,63629-2108-1,63629210801
amphetamine,63629-2109-1,63629210901
amphetamine,63629-2110-1,63629211001
amphetamine,49884-839-01,49884083901
amphetamine,49884-840-01,49884084001
amphetamine,49884-841-01,49884084101
amphetamine,49884-842-01,49884084201
amphetamine,49884-843-01,49884084301
amphetamine,49884-844-01,49884084401
amphetamine,57664-336-88,57664033688
amphetamine,57664-337-88,57664033788
amphetamine,57664-338-88,57664033888
amphetamine,57664-339-88,57664033988
amphetamine,57664-340-88,57664034088
amphetamine,57664-341-88,57664034188
amphetamine,0527-5510-37,00527551037
amphetamine,0527-5511-37,00527551137
amphetamine,0527-5512-37,00527551237
amphetamine,0527-5513-37,00527551337
amphetamine,0527-5514-37,00527551437
amphetamine,0527-5515-37,00527551537
amphetamine,51407-548-01,51407054801
amphetamine,51407-549-01,51407054901
amphetamine,51407-550-01,51407055001
amphetamine,51407-551-01,51407055101
amphetamine,51407-552-01,51407055201
amphetamine,51407-553-01,51407055301
amphetamine,43975-331-10,43975033110
amphetamine,43975-332-10,43975033210
amphetamine,43975-333-10,43975033310
amphetamine,43975-334-10,43975033410
amphetamine,43975-335-10,43975033510
amphetamine,43975-336-10,43975033610
amphetamine,42858-721-01,42858072101
amphetamine,42858-722-01,42858072201
amphetamine,42858-723-01,42858072301
amphetamine,42858-724-01,42858072401
amphetamine,42858-725-01,42858072501
amphetamine,42858-726-01,42858072601
amphetamine,42858-727-01,42858072701
amphetamine,42858-055-01,42858005501
amphetamine,42858-215-01,42858021501
amphetamine,42858-325-01,42858032501
amphetamine,42858-610-01,42858061001
amphetamine,42858-720-01,42858072001
amphetamine,42858-930-01,42858093001
amphetamine,63629-3729-1,63629372901
amphetamine,63629-3729-2,63629372902
amphetamine,63629-3729-3,63629372903
amphetamine,63629-8279-1,63629827901
amphetamine,63629-8280-1,63629828001
amphetamine,52343-166-01,52343016601
amphetamine,0527-1500-37,00527150037
amphetamine,0527-1500-41,00527150041
amphetamine,0527-1501-37,00527150137
amphetamine,0527-1501-41,00527150141
amphetamine,0527-1502-37,00527150237
amphetamine,0527-1502-41,00527150241
amphetamine,0527-1503-37,00527150337
amphetamine,0527-1503-41,00527150341
amphetamine,0527-1504-37,00527150437
amphetamine,0527-1504-41,00527150441
amphetamine,0527-1505-37,00527150537
amphetamine,0527-1505-41,00527150541
amphetamine,0527-1506-37,00527150637
amphetamine,0527-1506-41,00527150641
amphetamine,52343-160-01,52343016001
amphetamine,13107-068-01,13107006801
amphetamine,13107-068-05,13107006805
amphetamine,13107-068-25,13107006825
amphetamine,13107-068-50,13107006850
amphetamine,13107-068-99,13107006899
amphetamine,13107-069-01,13107006901
amphetamine,13107-069-05,13107006905
amphetamine,13107-069-25,13107006925
amphetamine,13107-069-50,13107006950
amphetamine,13107-069-99,13107006999
amphetamine,13107-070-01,13107007001
amphetamine,13107-070-05,13107007005
amphetamine,13107-070-25,13107007025
amphetamine,13107-070-50,13107007050
amphetamine,13107-070-99,13107007099
amphetamine,13107-071-01,13107007101
amphetamine,13107-071-05,13107007105
amphetamine,13107-071-25,13107007125
amphetamine,13107-071-50,13107007150
amphetamine,13107-071-99,13107007199
amphetamine,13107-072-01,13107007201
amphetamine,13107-072-05,13107007205
amphetamine,13107-072-25,13107007225
amphetamine,13107-072-50,13107007250
amphetamine,13107-072-99,13107007299
amphetamine,13107-073-01,13107007301
amphetamine,13107-073-05,13107007305
amphetamine,13107-073-25,13107007325
amphetamine,13107-073-50,13107007350
amphetamine,13107-073-99,13107007399
amphetamine,13107-074-01,13107007401
amphetamine,13107-074-05,13107007405
amphetamine,13107-074-25,13107007425
amphetamine,13107-074-50,13107007450
amphetamine,13107-074-99,13107007499
amphetamine,16714-948-01,16714094801
amphetamine,16714-949-01,16714094901
amphetamine,16714-950-01,16714095001
amphetamine,16714-951-01,16714095101
amphetamine,16714-952-01,16714095201
amphetamine,16714-953-01,16714095301
amphetamine,16714-954-01,16714095401
amphetamine,71335-1081-1,71335108101
amphetamine,71335-1081-2,71335108102
amphetamine,71335-1081-3,71335108103
amphetamine,52343-162-01,52343016201
amphetamine,42806-339-01,42806033901
amphetamine,11534-190-01,11534019001
amphetamine,11534-195-03,11534019503
amphetamine,11534-190-03,11534019003
amphetamine,11534-194-01,11534019401
amphetamine,11534-192-01,11534019201
amphetamine,11534-193-03,11534019303
amphetamine,11534-194-03,11534019403
amphetamine,11534-195-01,11534019501
amphetamine,11534-196-01,11534019601
amphetamine,52343-164-01,52343016401
amphetamine,42806-341-01,42806034101
amphetamine,42806-344-01,42806034401
amphetamine,72516-011-01,72516001101
amphetamine,72516-012-01,72516001201
amphetamine,72516-013-01,72516001301
amphetamine,72516-014-01,72516001401
amphetamine,72516-015-01,72516001501
amphetamine,72516-016-01,72516001601
amphetamine,0555-0775-02,00555077502
amphetamine,0555-0776-02,00555077602
amphetamine,0555-0777-02,00555077702
amphetamine,0555-0971-02,00555097102
amphetamine,0555-0972-02,00555097202
amphetamine,0555-0973-02,00555097302
amphetamine,0555-0974-02,00555097402
amphetamine,63629-2376-1,63629237601
amphetamine,63629-2378-1,63629237801
amphetamine,63629-2379-1,63629237901
amphetamine,63629-2380-1,63629238001
amphetamine,63629-2381-1,63629238101
amphetamine,63629-2382-1,63629238201
amphetamine,52343-165-01,52343016501
amphetamine,52343-163-01,52343016301
amphetamine,0527-0760-37,00527076037
amphetamine,0527-0761-37,00527076137
amphetamine,0527-0762-37,00527076237
amphetamine,0527-0763-37,00527076337
amphetamine,0527-0764-37,00527076437
amphetamine,0527-0765-37,00527076537
